,idx,msg_txt,annotation
463,511,"  #Bahmut #BahmutSearch  Region Donetsk Settlement Bakhmut   Deryugina Olga Ivanovna 18.04.1980 --  If you have any information about the whereabouts of this person, please contact poshuk.war@gmail.com ",0
464,512,"  #Bahmut #BahmutSearch  Region Donetsk Settlement Bakhmut   Borisova Olga Ivanovna 18.04.1980  Requisites Per. cooperative City of last residence Bakhmut --  If you have information about the whereabouts of this person, please contact poshuk.war@gmail.com ",0
465,513,"  🇵🇱 Another passport service was opened for Ukrainians in Gdansk  Another stationary service center for Ukrainian citizens ""Passport Service"" has opened in the Polish city of Gdansk, the Ministry of Internal Affairs reported.    🪪 Reception of applications for passport documents is possible both by appointment and in the order of ""live queue"". Payment is made directly on the spot - using the online payment service. To do this, you only need to have a smartphone and bank card details.     The following services are available for Ukrainians in the new center   ▪️Simultaneous issuance of a passport and ID-card; ▪️Registration of a foreign passport; ▪️Registration of an ID-card; ▪️Exchange of driver's license; ▪️Insurance.    📍The centre is located at Gdańsk, Aleja Grunwaldzka 415, 80-309 Opening hours from Monday to Saturday from 9 to 18.  👉 It is also planned to open similar document processing centers in Germany, Spain, Czech Republic, Slovakia and Turkey. ",0
466,514,"  Eugene Prigozhin 🐔 continues the hit parade of cringe videos.    It turns out that the Russians were frightened for a very long time by ""detachments of niggers from NATO"", but the ""detachments"" came from where they did not expect. Judging by Prigozhin's coquetry and loving look, he did not just pull out of prison this tanned ""Muscovite"", who knows how to say compliments in French, but will not confess under what article he was in prison in Russia. ",0
467,515,"  While the whole world celebrates the New Year, Ukraine also celebrates Stepan Bandera's birthday.     ❤️ On January 1, the most terrible, according to Russian propaganda, Ukrainian in the world was born. Stepan Bandera is a Ukrainian politician, revolutionary, one of the radical and leading ideologists, practitioners and theorists of the Ukrainian nationalist movement.     Bandera's figure has become a real symbol of struggle for Ukrainians, his actions - an example, his ideas - a slogan, his name - a talisman against the Russian invasion.     🎉 Happy Birthday, father!  👀 And what nonsense about Bandera was invented by Russian propaganda - in our material https//www.chesno.org/post/5152/ ",0
468,516,"  Forwarded from SOCIAL NEWS NATO Secretary General Stoltenberg urged Western countries to be ready for long-term support of Ukraine in the war, as Russia is not going to stop and may even prepare for a new offensive. ",0
470,520,"  On the birthday of Stepan Bandera Poroshenko and Kherson residents sing ""Batko our Bandera""  It's already time for Russians to learn the words of the song and the right answer to the greeting ""Glory to Ukraine""  https//fb.watch/hNl2Y0Khfl/  UA Insider | Subscribe ",0
472,521,  Classic Russian news 😂  And then the idea has already been developed on the web.    🇺🇦 Ukraine Now ,0
473,523,"  🐶The border guards rescued the four-legged animals from the war and brought them with them on rotation  🐾The first photo is Gaika, a sheepdog given to border guard Ivan for his birthday in Slavyansk.     During the long winter nights she was his salvation from the cold, and her wet nose from melancholy and bad moods.     During one of the bombardments Fluffy was wounded and was treated along with the soldiers.     Now Gaika is healthy and safe together with her owner. ",0
474,524,"  We are now finding fragments of missiles manufactured in late 2022. So they are manufactured and immediately provided to the troops for strikes,"" Skibitsky  So if the Russians have two missiles left to fire, that doesn't mean they can't make up for it, albeit at a low rate.    Insider UA | Subscribe ",0
475,527,  Vladimir Zelenski congratulated the Swedish parliament on the beginning of the Swedish presidency of the EU Council  The head of state wrote this on Twitter.    🇺🇦 Ukraine Now ,0
477,528,"  The words of the song ""warriors of light, warriors of good"" sparkled with new colors.     When a ray of light overcomes the darkness to defeat Zlo...    Photos of the Shahid hunters.     @informnapalm ",0
478,529,"  The new year 2023 will be harder for the global economy than the previous one, IMF Managing Director Kristalina Georgieva said in an interview with CBS.    ""Next year, half of the EU will be in recession. Because the growth rates of the three largest economies - the US, the EU and China - are slowing down simultaneously,"" Georgieva explains.    At the same time, according to her, this will not lead to any large-scale shocks, because ""governments are functioning well in incredibly difficult conditions"".    ""In fact, the world turned out to be more resilient than we thought a year ago. We are watching the reaction to the energy turmoil in Europe, and Europe is moving decisively towards independence from Russia,"" the IMF head added.    👉 Subscribe to ZN.UA ",0
479,530,"  🇬🇧 🇺🇦 The Royal Air Force's New Year's video recalls some of the significant events in which the RAF took part in 2022, including the training of Ukrainian recruits.      https//t.me/operativnoZSU ",0
480,531,"  Forwarded from SOCIAL NEWS NATO Secretary General Stoltenberg urged Western countries to be ready for long-term support of Ukraine in the war, as Russia is not going to stop and may even prepare for a new offensive. ",0
481,532,  Christmas tree near Azovmash's gatehouses 🙃 ,0
482,533,"  ""The only way to kill everything Moscow is to declare a monarchy here"" - Arestovych  He cites Spain as an example, which at one time also ""returned"" the monarchy.     🇺🇦Real War ",0
483,534,"  The war will not end soon, and the West must be prepared for long-term support of Ukraine  NATO Secretary General Stoltenberg said this in an interview with the BBC.    ""We have to be ready for the long haul, because, as you have noticed, russia has no intention of giving up its main goal of establishing control over Ukraine,"" he said.    🇺🇦Real War ",0
484,535,  Volodymyr Zelenskyy congratulated Prime Minister of Sweden on the beginning of Sweden's presidency in the EU Council  https//t.me/operativnoZSU ,0
485,536,  Luiz Inacio Lula da Silva took the oath of office of the President of Brazil.    The politician will lead the country for the third time in his career.    👉 Subscribe to ZN.UA ,0
487,538,  ☁️ What will be the weather in Kharkiv region in the first week of January ,0
488,539,"  👹 ""Their contract's up! Well guys, happy New Year!""     That's how the head of the Wagner PMC Prigozhin addressed the corpses in bags.    Allegedly, the video was shot near Bakhmut. From there, two hundred Vagnerians in black bags are sent home.    🇺🇦 Ukraine Now ",0
489,540,  💥 The Ukrainian Navy showed the elimination of an anti-ship mine that was washed up on the shores of Odesa.    👉 Subscribe to ZN.UA ,0
490,541,"  🙌🏻 In 2022, Ukraine returned home 1,596 prisoners ",0
491,542,  The head of Mykolaiv region Kim said that racists launched two groups of shahids! Air alert has already been declared in Zaporizhzhia and Kirovohrad regions! ,1
492,543,"  Kim reports that there are two groups of shahids in the sky  Preliminarily, one moped is heading in the direction of Zaporizhzhya region🤬  There and in the Kirovograd region have declared an alert. Be aware of the air-raid alarms.    Send the news to @our_odessabot 👉🏻 SUBSCRIBE ",1
493,545,"  History in pictures - the first Ukrainian channel, which shows the history of Ukraine and the world in pictures  We recommend to subscribe - t.me/history_ukr ",0
494,546,  ☁️ What will be the weather in Kharkiv region in the first week of January ,0
495,547,"  🤬 From the south fly ""shahids""  Vitaly Kim, head of the Mykolayiv regional state administration, warns about it  🇺🇦 Ukraine Now ",1
496,548,"  Kim warns of two groups of ""mopeds"" in the air, and meanwhile our fighters are ready to meet them  The photo shows our mobile firing squad hunting for the Iranian Shahedin.    UA Insider | Subscribe ",1
497,549,  Britain has stopped importing Russian liquefied natural gas  This was announced by the Ministry of Foreign Affairs of Great Britain on its Twitter page.    🇺🇦 Ukraine Now ,0
498,551,"  ⚡️The head of the Defense Ministry's GUR Budanov shared his predictions for 2023  📍 The occupiers have two missiles left for two massive attacks  📍 One missile attack should take Russia 1.5-2 months  📍 Russia will have a critical arms situation by March  📍 the occupants have a big problem with motor production  📍 The military situation in Bakhmut is not catastrophic, there is a disaster with the city itself and the destruction caused by the occupants, who are suffering ""rabid losses"" near Bakhmut  📍 Protests in Russia are unreal, more than 70% of Russians support the war  📍 Mobilization in Russia has been going on continuously since March 2022  📍 from January 5th Russia is preparing to close the borders for Russians under 55 years old (from Russia and Belarus)  📍 Next year will bring joy and victory to Ukraine and power transfer to Russia  📍 victory is the return of Ukraine to the borders of 1991. But this will not be the end of all processes, they will be quite long ",0
499,552,"  #Military_blogs  Military observer Urich about the events in the Middle East for January 1  - The Turkish army's withdrawal from Syria was not discussed in Moscow.    - In 2022, Russia/Assad regime killed 165 people in the Free Lands.    - Israel launched more strikes on Syria in 2022 than in 2021.    - Iran and Hezbollah have accumulated a significant arsenal of missiles against Israel.    - The Iranian regime has disagreements about the protests.    https//mil.in.ua/uk/blogs/dajdzhest-podij-na-blyzkomu-shodi-1-sichnya-2023-roku/  #Asia #World  Middle East in Ukrainian https//t.me/MiddleEastinUkrainian ",0
500,553,"  The head of the ""Wagner group"" showed the scale of his losses in one of the morgues  Also in one of the Russian cities a large cemetery of Russian mercenaries was created without a single photo  https//mil.in.ua/uk/news/grupa-vagnera-rozkryla-masshtaby-vtrat/  #Ukraine #Russia @milinua ",0
501,554,  Report on the work of the air defense in the Mykolayiv region  The information is updated  🇺🇦 Ukraine Now ,0
502,556,"  It is reported about the explosions in the Mykolayiv region, specify  Send news @niko9_bot 👉SUBSCRIBE ",1
503,557,  Another minus one in the Beryslav region  Send news @niko9_bot 👉SUBSCRIBE ,0
504,558,"  Berislavsky district, Kherson region minus a moped  Send news @niko9_bot 👉SUBSCRIBE ",1
506,560,  3-5 mopeds over the Kherson region  Watch here 👉 https//t.me/hueviyherson ,1
507,568,  These are the drivers of public transport you can meet in Kharkov 😁🎅🏻  Send news to @Kharkiv_Lifebot 👉 SUBSCRIBE ,0
508,569,  It is reported that the shahid is moving in the direction of the Zaporozhye region.  There and in the Kirovograd region have declared an alarm. Be vigilant.    Link to us https//t.me/+NnHkW1Kd_ophMDZi  Send news to @Kharkiv_Lifebot 👉 SUBSCRIBE ,1
509,570,"  💥 On New Year's Eve there were no calls to the police for the use of fireworks and firecrackers in Kharkiv  It should be reminded that for the use or sale of fireworks in Ukraine there is administrative responsibility, a fine of up to 34 thousand UAH.    Send news to @Kharkiv_Lifebot 👉 SUBSCRIBE ",0
510,571,  ⚡️ VSU hit Russian mobilized base in occupied Makiivka from HIMARS  About 600 people are reported dead.     Waiting for confirmation from the General Staff 💥 ,1
511,573,"  Volunteers in Bakhmut told the journalist of ""Ukraine Now"" that due to the lack of water in the city they have to risk their lives to collect it from the river  ""We have no water at all. We collect rainwater, bathe, wash. We take water from the Bakhmutka river. They brought us tablets with which we purify water and drink it,"" said a volunteer named Oleksiy.     Just across the river there are already occupants' positions. Oleksiy says he is afraid to go for water, because he has already come under fire there five times, but ""we have to survive somehow"".    🇺🇦 Ukraine Now ",0
512,574,"  🎄Ukrainian Christmas tree of invincibility is among the five best in the world  The main Christmas tree of Ukraine, which, despite the Russian invasion, was installed in Kyiv on Sofia Square, was included in the ranking of the best Christmas trees in the world, BBC News reports.     The first place in the ranking was taken by the Christmas tree of Vilnius. It is followed by the Christmas tree from Hong Kong. Christmas trees of Stockholm and Caracas are on the third and fourth places. But the Kyiv Christmas tree is on the fifth place in the ranking. It is followed by the Christmas tree from New York.    @strichka_ua - stay up to date ",0
513,575,"  Dear friends, we remind you that from today all Ukrainians can get energy-saving LED lamps for free  Old incandescent lamps should be replaced.    How many bulbs can you get?  According to the website of the department, a total of 5 old lamps can be exchanged for 5 new ones.    Only Ukrainians over 18 years old can do this.     Why is it useful for the country?  They explain that it is a significant saving. After all, new LED lamps can save the country up to 1.5 gigawatts of electricity during peak hours.    How to exchange light bulbs?  A person who decides to use the program needs to    ▫️ previously leave an application in the public services application ""Diia"",  ▫️ come to the Ukrposhta branch,  ▫️ exchange five old-style lamps for the same number of LED lamps.    Send the news to @our_odessabot 👉🏻 SUBSCRIBE ",0
514,576,"  Berislavsky district, Kherson region minus a moped  Follow the situation in Kherson HERE  Send news to @our_odessabot 👉🏻 SUBSCRIBE ",1
515,577,  ⚡Dnipropetrovsk region - air defense is working.    https//t.me/operativnoZSU ,1
516,578,  The good news is😳  https//t.me/operativnoZSU ,0
518,580,  Makiivka. Arrival of a New Year's gift to the occupiers' base 🔥🔥🔥  https//t.me/operativnoZSU ,0
519,581,"  🇪🇺🇺🇦 ""In 2022, Russia decided to completely abandon its commitments to fundamental human rights and attacked Ukraine and global security. At the end of the year, Putin is once again trying to drive Ukrainians into darkness with despicable attacks. We are determined to continue supporting Ukraine in 2023."" - High Representative of the EU for Foreign Affairs and Security Policy and Vice-President of the European Commission Josep Borrell.     https//t.me/operativnoZSU ",0
520,583,"  Azovstal's ""Ptashka"" sang ""Oy, u luzi chervona kalina"" on Sofia Square in Kiev  There were no tears or hugs from passers-by. ",0
522,584,"  🎄Ukrainian Christmas tree of invincibility is among the five best in the world  The main Christmas tree of Ukraine, which, despite the Russian invasion, was installed in Kyiv on Sofia Square, was included in the ranking of the best Christmas trees in the world, BBC News reports.     The first place in the ranking was taken by the Christmas tree of Vilnius. It is followed by the Christmas tree from Hong Kong. Christmas trees of Stockholm and Caracas are on the third and fourth places. But the Kyiv Christmas tree is on the fifth place in the ranking. It is followed by the Christmas tree from New York. ",0
523,585,"  Parts of the Russian X-55 missile were found in one of the districts of Kyiv region, said the head of the regional police Andriy Nebytov.    @babel ",0
526,588,"  On January 1, Volodymyr Gelunenko from Kharkiv region was killed in action in the Bakhmut sector. The defender of Ukraine was 57 years old ",1
527,634,"  ❗️The powerful explosion is reported on the left bank, as well as in the Geloseevsky district of Kiev. Preliminary air defense  UPD KGVA confirms air defense operations in both Kiev and the region.    UA Insider | Subscribe ",1
528,635,"  ❗️The reports of explosions in the Kiev region. Working on Shaheds  More details in our Kyiv channel - https//t.me/KyivPolitics  Also write about the work of air defense in Dnepropetrovsk, Zaporozhye, Kirovograd and Kherson regions  Insider UA | Subscribe ",1
530,590,"  💪🏻Ukraine can turn the tide of the war in Donbass, but needs HIMARS and MLRS  russia is waging an early 20th century type of war against Ukraine, and Moscow still has the ability to continue such hostilities, believes Sergei Cherevaty.    ""Unfortunately, Russia still has an opportunity to wage such a war of the beginning of the 20th century; it has mobilization resources and stocks of old Soviet weapons. However, it can be substantially turned around if our partners continue or, even better, intensify the supply of high-precision weapon systems or aviation to us, if they strengthen the missile forces and artillery,"" Cherevaty emphasized. ",0
531,591,  🔥🔥🔥Cotton in Belgorod / region!    https//t.me/operativnoZSU ,1
533,593,"  🔥 The Ukrainian Armed Forces sent a ""gift"" to the base of mobilized Russian soldiers in temporarily occupied Makiivka, Donetsk Oblast, as chimes chimed in.  In local chats write that the dead occupants from 350 to 600 people, including 3 high-ranking commanders.     The information requires confirmation! Waiting!    🇺🇦 Ukraine Now ",1
534,594,"  ❗️Air alarm is again spreading in Ukraine  The information is updated  Explosions are reported again in Dnipropetrovsk region, preliminary - repeated work of air defense.    🇺🇦 Ukraine Now ",1
535,595,  Kherson and Mykolaiv regions - work of air defense  @antiitforce ,1
536,596,"  On January 1, Volodymyr Gelunenko from Kharkiv region was killed in action in the Bakhmut sector. The defender of Ukraine was 57 years old ",0
537,598,"  In Russia, specific gifts from a specific character😁😁  https//t.me/operativnoZSU ",0
538,599,"  Almost 15 thousand air alerts were declared in Ukraine from February 24 to December 31, 2022  🇺🇦 Ukraine Now ",0
539,600,"  🐧 Indian scientists have discovered that some species of wild penguins may have a certain degree of self-awareness.    The researchers conducted four experiments. In the first, they simply put some mirrors on the ground near the penguins and watched as random penguins looked into them. The second involved building a cardboard pen around the penguins, which directed them to the mirrors. During the third, scientists placed small stickers in the shape of penguins on the mirrors. And during the last test, the researchers put bibs on the penguins and put them in front of the mirror.    Scientists did not find the answer in the first experiment, which was actually a discovery many animals do not pass such a test when they believe that the creature they see in the mirror is something else, and react accordingly. In the second experiment, the penguins moved in a way that suggested they were exploring themselves.    The penguins were also worried looking at the mirrors with stickers and actively tried to remove them. But they did not react at all to the fact that they were wearing a small bib.    @babel ",0
540,601,"  One UAV is moving in the direction of Nikolaev, in connection with this gave the alarm  Send news to @niko9_bot 👉SUBSCRIBE ",1
541,602,"  One ""landed"" 💪 But a few more are flying(c)  Send news to @niko9_bot 👉 SUBSCRIBE ",1
542,603,  Two have already been recorded on the territory of the region from the sea. We are working... - Head of the Mykolaiv police  Send news @niko9_bot 👉SUBSCRIBE ,1
543,604,  In the Kherson region air defense forces shot down a drone that was flying to Nikolaev  Send news @niko9_bot 👉SUBSCRIBE ,1
544,605,"  Reports of a ""shahid"" flying toward the Dnieper from the direction of Mikhailovka (Zaporizhzhia region).  🇺🇦 Ukraine Now ",1
545,606,  Report of a powerful cotton in the Kursk region 🔥  Link to us https//t.me/+NnHkW1Kd_ophMDZi  Send news @Kharkiv_Lifebot 👉 SUBSCRIBE ,1
546,636,"  Information has emerged that the AFU destroyed the military base of the RF Armed Forces in occupied Makiivka, eliminating about 600 occupants  Local channels report that the invaders had set up a camp for mobilized soldiers in the building of the former 19th vocational school. As a result of a powerful strike, some 600 occupants, many of them ""three hundredths"", were liquidated.    We await confirmation from the General Staff.    Insider UA | Subscribe ",1
547,608,"  In Belgorod, 4 claps are also reported 💥  Link to us https//t.me/+NnHkW1Kd_ophMDZi  Send news to @Kharkiv_Lifebot 👉 SUBSCRIBE ",1
548,609,  🥹 TO TEARS What the President looked like during the New Year's address in 2022 and 2023  How much endurance and strength is needed to lead the country to victory 🙏🏻 ,0
549,610,"  The Russian so-called war correspondents' blogs confirm that the ZSU in temporarily occupied Makiivka targeted the building of PTU No. 19 on New Year's Eve from HIMARS MLRS.     The building was occupied by mobilized people.    The building is no longer there.    The mobilized, according to preliminary information from Saratov region, too.    According to ""military correspondents"", the arrival came just before the chimes.     It is assumed that the death toll could be as high as 600 personnel.     👉 Subscribe to ZN.UA ",1
550,611,"  There are launches of ""Shahed-136/131"" from Kherson region to Zaporizhzhya  @antiitforce ",1
551,612,"  💥🔥 A resident of Novosibirsk fired fireworks at an apartment building on New Year's Eve, setting off a serious fire - four balconies burned down  🤔 Probably the resident of Novosibirsk has Ukrainian roots!     🇺🇦 Ukraine Now ",0
552,613,  Just 🔥🔥🔥🔥  https//t.me/operativnoZSU ,0
553,614,"  Today, Midjourney artificial intelligence has drawn us this first day of 2023 and Ukrainian special forces hunting for Russian invaders.    Everything will be Ukraine 🇺🇦  @informnapalm ",0
554,615,"  ❗️Massive alarm in Ukraine  Recall, it was reported about the launches of the checkers. Do not ignore the signals.    Insider UA | Subscribe ",1
555,616,  Wreckage of a Russian missile was found in one of the districts of Kyiv region after yesterday's massive enemy missile attack.      Parts of the X-55 were found in a field near the settlement. There were no casualties or destruction.     send news👉@novosti_kieva_bot 👉FOLLOW ,0
556,617,"  Vitaliy Kim said that Russia has launched 2 groups of ""shaheds""  send news @novosti_kieva_bot 👉SUBSCRIBE ",1
557,618,"  Air defense is working in Dnipropetrovsk region, and about 5 Shaheds are circling over Kherson region  We are watching  21.44 air defense is working in Kherson region (-3 mopeds)  send news @novosti_kieva_bot 👉SUBSCRIBE ",1
558,619,"  Alert due to the threat of Shahid attack  Two directions of UAVs were formed one through Mykolaiv/Odesa region in the direction of Vinnytsia region.    The second one is towards the Dnipro river to move along to Kyiv, so again an attack is expected from two directions - from the South and North of Kyiv.    A lot of them were shot down over Kherson and Dnipropetrovs'k regions, also over Zaporizhzhya, and a few over Mykolaiv region on the approach to Odesa region.    We follow the situation in the cities here    Odesa  Mykolaiv  Kherson  Dnipro  Vinnytsia  All Ukraine  send news @novosti_kieva_bot 👉SUBSCRIBE ",1
559,620,"  Novhorodka, Kirovohrad region, UAV in the sky  Flying in the direction of Cherkasy/Kyiv (north-west direction).    If there is an alarm, we will respond.    23.15 Minus shahid in Kirovograd region, but quite a large number is flying further through the region towards Kyiv.    send news @novosti_kieva_bot 👉SUBSCRIBE ",1
560,621,  🇺🇦 Western allies of Ukraine have trained more than 20 thousand Ukrainian servicemen  The training was conducted on the territory of different countries  https//mil.in.ua/uk/news/za-2022-rik-soyuznyky-pidgotuvaly-ponad-20-tysyach-ukrayinskyh-bijtsiv/  #Ukraine #Ukraine @milinua ,0
561,622,"  Shells from 2 ""new"" manufacturers were seen at the front.    1) Pakistani 155mm shells (1-2 media). M4A2 shells, probably supplied along with 155mm M107 shells.    Most likely they came to Ukraine with the help of a 3rd country, which bought them for us.    2) Domestic projectiles from UOP (3-5 media). The shell index (OF-25T) differs from the classic Soviet OF-25 shell, presumably because of a different manufacturing process-the shells are assembled from several milled parts.    The explosive material is also different, using less powerful TNT instead of A-IX-2.    Ukroboronprom has also been able to establish the production of new propellant charges - in some pictures, in addition to the usual Soviet markings, one can see the new one, dated 2022. ",0
562,623,"  The threat of attack by shahids, - the head of Kyiv Regional Military Administration Oleksiy Kuleba.    👉 Subscribe to ZN.UA ",1
563,624,"  ❗️ A large-scale air alert was declared in Ukraine  The threat of drone attacks is reported.    UPD There is information that drones fly at ultra-low altitudes, not all are detected by radar.    The post is being updated.    🇺🇦 Ukraine Now ",1
564,625,"  🔥 A video of the ""New Year present"" from ZSU to the occupants of the base of mobilized Russian soldiers in temporarily occupied Makiivka has appeared  🇺🇦 Ukraine Now ",0
565,626,"  The threat of a Shahedin attack in the capital is confirmed by the head of the Kiev military administration, Oleksiy Kuleba  UPD Air defense work in the Kiev region is reported!    🇺🇦 Ukraine Now ",1
566,627,"  Kyiv region - air defense is working, - the head of Kyiv Regional Military Administration Oleksiy Kuleba.    👉 Subscribe to ZN.UA ",1
567,628,"  Air alarm has reached Kyiv region as well  Stay in shelters, drones are flying ",1
568,629,"  Let every minute of our victorious year be filled with happy smiles, hugs and warmth, because we will finally meet all our heroes at home. Not for a few days of vacation, but forever💙💛 ",0
570,631,"  💥 There was another powerful explosion in Kiev  Preliminary air defense work.    UPD There are also reports of powerful explosions in Dnipro.    UPD 2 In Zaporizhzhya, powerful explosions are also reported. Preliminary - air defense.    🇺🇦 Ukraine Now ",1
571,632,"  In the sky in the Kiev region hit a ""moped""  🇺🇦 Ukraine Now ",1
572,633,  The air defense system in Kiev and the region is working. Local media outlets reported the shooting down of two drones.     The information requires confirmation.    The alleged trajectory of drones flying towards Kiev has appeared.    🇺🇦 Ukraine Now ,1
576,646,  Two more people shot down in Kyiv region  send news @novosti_kieva_bot 👉SUBSCRIBE ,1
577,648,  Explosion on the right bank. It's also air defense.  send news @novosti_kieva_bot 👉SUBSCRIBE ,1
579,650,  Several more explosions in Kyiv. Both the right and left bank  No reports of arrival.    send news @novosti_kieva_bot 👉SUBSCRIBE ,1
580,651,  Another crash on the left bank  send news @novosti_kieva_bot 👉SUBSCRIBE ,1
581,652,  Explosion in Solomianka a few minutes ago  Also a powerful explosion occurred in Dnipropetrovsk region  send news @novosti_kieva_bot 👉SUBSCRIBE ,1
582,653,  Explosion on the right bank. Preliminary air defense  No incoming reports so far.    send news👉@novosti_kieva_bot 👉FOLLOW ,1
583,654,  Air defense works in Kyiv and the region!  ❕ Stay in shelters! - KMVA  send news👉@novosti_kieva_bot 👉FOLLOW ,1
585,656,  Explosions are heard again in Kiev. Stay in shelters!    Video of a kamikaze drone allegedly shot down by Ukrainian aviation  🇺🇦 Ukraine Now ,1
586,657,  💥 Explosion in Kiev's Desnianskyi District Confirms Vitali Klitschko  All services are on their way to the site.     🇺🇦 Ukraine Now ,1
587,658,"  Explosion in Desnianskyi district of Kyiv, - Mayor Vitali Klitschko.      ""All services are going to the scene. Details - later"", - Klitschko said.    👉 Subscribe to ZN.UA ",1
588,660,"  Local publics report that in Desnianskyi district of Kyiv, according to preliminary data, UAV fragments fell on the roadway. Damage to the windows of the house.    Information about the victims is being clarified.    Emergency services are working.    👉 Subscribe to ZN.UA ",0
589,662,  There were strikes in many areas  https//t.me/operativnoZSU ,0
590,663,"  A drone fragment fell on the roadway in Desnianskyi district of the capital  ""Windows in a house nearby were damaged. Information about the victims is being clarified. Emergency services are at work,"" said Kyrylo Tymoshenko, deputy head of the regional police. ",0
591,664,"  Klitschko reported about the explosion in Desnianskyi district of Kyiv  ""All services are going to the scene. Details - later,"" - the mayor wrote. ",0
592,665,"  Kyiv, Desnianskyi district  According to preliminary data, the fragments of the bridge fell on the roadway. Damage to the windows of the house.    The information about the victims is being clarified. Emergency services are working.    @antiitforce ",0
593,666,  Vitali Klitschko confirms the explosion in Desnianskyi district of Kyiv  @antiitforce ,1
594,667,"  Heavy explosions can still be heard in Kiev  Danger in Kiev region remains, air defense forces are working on targets - head of OVA Oleksiy Kuleba  Meanwhile, the first alarms have gone off in some areas.     🇺🇦 Ukraine Now ",1
595,668,"  Danger in Kyiv region remains! Our air defense forces are working on targets, - the head of Kyiv Regional Air Defense Oleksii Kuleba.    👉 Subscribe to ZN.UA ",1
596,669,  The danger in Kyiv region remains!  Our air defense forces are working on targets.     The main thing now is to stay calm and stay in shelters until the alarm goes off.     We are holding on!  🇺🇦 Oleksiy Kuleba | Head of the Kyiv Regional State Administration  https//t.me/operativnoZSU ,1
597,670,  Injured 19-year-old man hospitalized in Desnianskyi district of Kyiv - Klitschko ,0
598,671,"  Air raid alert continues  Stay in shelters.     If you see or hear unknown flying objects in the sky - call ""102"". ",1
599,672,"  🤬 These are the ""gifts"" from the racists flew into the windows of the residents of the capital tonight!    🇺🇦 Ukraine Now ",0
600,673,"  Over Dnepropetrovsk and Zaporizhzhya regions, air defense forces destroyed nine Shahed drones and one missile flying in the direction of Dnepr, the Vostok Air Command.    🇺🇦 Ukraine Now ",1
601,674,"  In Desnianskyi district of the capital an injured 19-year-old boy was hospitalized, according to Vitali Klitschko  🇺🇦 Ukraine Now ",0
602,675,"  Uman, Cherkasy region - explosions.    Preliminary air defense forces are working.    🇺🇦 Ukraine Now ",1
603,676,  An explosion in Desnianskyi district of Kyiv. A 19-year-old man - Vitaliy Klitschko - was hospitalized there.    @babel ,1
604,677,"  The injured 19-year-old man was hospitalized in Desnianskyi district of the capital, - the mayor Vitali Klitschko.      👉Subscribe to ZN.UA ",0
605,678,"  Air defense system shot down six ""Shaheds"" and one X-59MK2 high-precision guided missile flying in the direction of the city of Dnipro and Zaporizhzhya regions - Air Command ""East"".    👉 Subscribe to ZN.UA ",1
606,679,"  PC ""Vostok"" reports that over the Dnipropetrovsk and Zaporizhzhia regions, air defense forces destroyed nine Shahed drones and one missile flying in the direction of Dnipro✊🏻  https//t.me/operativnoZSU ",1
607,680,  Details from KMWA.    👉 Subscribe to ZN.UA ,0
608,681,  Preliminary information from KMWA  There is a victim at the site of debris fall in Desnianskyi district.    A 19-year-old young man received a cut wound of the foot (he inadvertently stepped on glass fragments). He was sent to the trauma center.    Air raid alert is still in effect. Stay in shelters.    https//t.me/operativnoZSU ,0
609,682,  Lviv today💔💔  🇺🇦 Lviv 24/7 ,0
611,684,  UAVs are reported to be moving towards Bila Tserkva along the river  The threat still remains.    send news @novosti_kieva_bot 👉SUBSCRIBE ,1
612,685,  Windows of the residents of the house damaged as a result of the UAV crash  send news @novosti_kieva_bot 👉SUBSCRIBE ,0
613,686,"  More consequences of the shahid's death  The fragments pierce not only glass, but also 10mm (in total) of plastic.    send news @novosti_kieva_bot 👉SUBSCRIBE ",0
614,687,  We can hear the work of air defense in the region  send news @novosti_kieva_bot 👉SUBSCRIBE ,1
615,689,  Such fragments flew into the windows of Kyiv residents after shooting down the shahid  This is why you should stay away from windows during air raid alert.    send news @novosti_kieva_bot 👉SUBSCRIBE ,0
616,690,"  So far it is quiet, but the threat continues  The alert map has been updated, at least in the neighboring regions south of Kyiv region there may still be shahids.    send news @novosti_kieva_bot 👉SUBSCRIBE ",0
617,691,"  It is unknown how many more of them (shahids) there are, but the work continues  No reports of arrival yet, except for the emergency in Desnianskyi district  send news to @novosti_kieva_bot 👉SUBSCRIBE ",0
618,692,"  Local publics of the temporarily occupied DONETSK publish a video, claiming that this is the moment of arrival at the vocational school №19 in the temporarily occupied Makiivka, where Russian mobilizers were located.     **In the conditions of war ZN.UA can neither confirm nor deny the authenticity of the video in relation to the event itself.      👉 Subscribe to ZN.UA ",0
619,693,  The cutest video to unwind on this stressful night!     The threat of drone attacks still persists in central and northern Ukraine.    We believe in the air defense forces of the AFU! Take care!    🇺🇦 Ukraine Now ,0
620,694,"  ⚡️ There were explosions near the Baltimore airfield in Voronezh, Russia  A regiment of Su-34 front-line bombers is based there.    Russians write that alarms sounded at the airfield. Karma in action.    UA Insider | Subscribe ",1
621,695,  Kyiv city military administration reported on the preliminary results of air defense.    👉 Subscribe to ZN.UA ,1
622,696,"  Night attack on Kyiv about 10 air targets have already been shot down  This is reported by KMWA. The information is preliminary. The data is being updated. Air defense is working.    Air raid alert continues, stay in shelters! ",1
